set_id,name,year,theme,themeGroup,category,pieces,minifigs,agerange_min,US_retailPrice,year_category,age_range
45299,Small house set,1970,Minitalia,Vintage,Normal,67,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
45330,Medium house set,1970,Minitalia,Vintage,Normal,109,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
45357,Medium house set,1970,Minitalia,Vintage,Normal,158,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
45386,Large house set,1970,Minitalia,Vintage,Normal,233,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
45388,Mini House and Vehicles,1970,Samsonite,Vintage,Normal,6,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
078-1,Roadway Base Plate 50X50,1970,Samsonite,Vintage,Normal,1,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
104-1,4.5V Replacement Motor,1970,Trains,Modern day,Normal,1,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
126-1,Steam Locomotive (Push),1970,Trains,Modern day,Normal,60,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
157-3,4 Car Auto Transport,1970,Samsonite,Vintage,Normal,65,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
242-4,Big Model Book,1970,Books,Miscellaneous,Book,6,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
271-3,Mini-House with Vehicles,1970,Samsonite,Vintage,Normal,89,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
311-5,Remote Control Car Set,1970,Samsonite,Vintage,Normal,271,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
312-1,Remote Control Supplement,1970,Samsonite,Vintage,Normal,1,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
338-1,Ambulance,1970,LEGOLAND,Vintage,Normal,74,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
345-3,House with Mini-Wheel Car,1970,Samsonite,Vintage,Normal,136,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
346-1,Jumbo Jet,1970,Samsonite,Vintage,Normal,121,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
347-1,Fire Station,1970,LEGOLAND,Vintage,Normal,320,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
347-4,Fire Station with Mini-Wheel Vehicles,1970,Samsonite,Vintage,Normal,216,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
348-2,Mini-Wheel Car and Truck Set,1970,Samsonite,Vintage,Normal,211,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
367-2,Mini Airport and Vehicle,1970,Samsonite,Vintage,Normal,233,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
512-1,Building Set ,1970,Duplo,Pre-school,Normal,20,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
513-1,Building Set ,1970,Duplo,Pre-school,Normal,29,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
600-1,Ambulance,1970,LEGOLAND,Vintage,Normal,17,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
601-2,Tow Truck,1970,LEGOLAND,Vintage,Normal,15,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
602-2,Van with opening doors,1970,LEGOLAND,Vintage,Normal,24,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
603-3,Veteran Car,1970,LEGOLAND,Vintage,Normal,32,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
620-2,Fire engine with opening doors and ladder,1970,LEGOLAND,Vintage,Normal,40,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
621-2,Articulated petrol tanker,1970,LEGOLAND,Vintage,Normal,43,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
622-2,Parcels trolley,1970,LEGOLAND,Vintage,Normal,33,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
623-2,Car and caravan,1970,LEGOLAND,Vintage,Normal,38,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
708-1,2m Extension Cord for Points,1970,Trains,Modern day,Normal,1,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
722-2,12V Electric Train with 2 Wagons,1970,Trains,Modern day,Normal,151,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
723-1,Diesel Locomotive,1970,Trains,Modern day,Normal,95,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
742-1,12v Transformer,1970,Trains,Modern day,Normal,1,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
800-1,Gears. Motor and Bricks,1970,Universal Building Set,Basic,Normal,120,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
801-1,Gear Set,1970,Universal Building Set,Basic,Normal,115,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
802-1,Gear Supplement,1970,Universal Building Set,Basic,Normal,30,1,6,19.99,90s(1960-1999),school-aged child (ages 5-12 years)
